A̱o,Popularidad Promedio
1902,22.725
1903,12.34
1915,19.71
1916,17.173
1918,10.187
1920,16.708
1921,37.064
1922,31.891
1923,26.943
1924,27.821
1925,17.721999999999998
1926,99.7955
1927,113.81200000000001
1928,19.3216
1929,17.202
1930,29.097
1931,39.524800000000006
1932,56.83325000000001
1933,32.685249999999996
1934,22.866500000000002
1935,22.71525
1936,20.285
1937,40.26533333333333
1938,23.5864
1939,40.269666666666666
1940,47.32066666666666
1941,61.49666666666667
1942,37.476166666666664
1943,54.7975
1944,30.262999999999998
1945,30.144
1946,51.64216666666667
1947,32.118857142857145
1948,30.630125
1949,31.589333333333332
1950,39.19736363636363
1951,32.95133333333334
1952,30.29
1953,28.623052631578947
1954,34.812588235294115
1955,25.443470588235293
1956,35.09093333333333
1957,28.1946875
1958,35.48390909090909
1959,41.29206666666666
1960,39.48459090909091
1961,26.365157894736843
1962,31.01276
1963,31.098260869565216
1964,33.25913043478261
1965,29.50622222222222
1966,28.88633333333333
1967,33.040173913043475
1968,42.7316
1969,30.54829411764706
1970,32.64542857142857
1971,31.785648648648646
1972,35.924689655172415
1973,36.24597435897436
1974,43.64393939393939
1975,35.84896153846154
1976,68.9766551724138
1977,50.48393103448275
1978,52.87647368421053
1979,50.98891176470588
1980,43.51033333333333
1981,37.275
1982,44.145607142857145
1983,46.973122448979595
1984,47.84037878787879
1985,40.85021621621622
1986,44.67397368421053
1987,58.31038028169014
1988,38.763627906976744
1989,45.03145
1990,50.76078313253013
1991,37.64808
1992,39.13382608695652
1993,41.187236842105264
1994,43.51017117117117
1995,52.26432258064516
1996,44.9548487394958
1997,50.05412781954887
1998,44.36205035971223
1999,49.085772727272726
2000,38.47888590604027
2001,43.45204069767442
2002,42.71057837837838
2003,39.41093548387097
2004,41.755730769230766
2005,41.70401826484019
2006,38.057576612903226
2007,36.8188893129771
2008,38.52416141732284
2009,37.82344086021505
2010,39.940003521126755
2011,37.43018831168831
2012,41.339465703971115
2013,36.365718023255816
2014,40.18701612903226
2015,42.368969444444446
2016,45.16631216931217
2017,54.62013164556962
2018,51.29115075376885
2019,51.31107733333333
2020,38.24072972972973
2021,52.744
2022,63.17558935361217
2023,110.37964467005077
2024,530.3494666666667
